Spanish,English
el/la,she
de,of
que,that
y,and
en,in
un,a
ser,be
a,a
él,the
lo,it
no,No
su,its
haber,to have
con,with
por,by
para,for
mí,my
lo,it
tener,to have
como,What
estar,be
me,I
más,plus
este,this
le,you
hacer,do
se,I know
yo,me
o,either
pero,but
decir,tell
poder,can
ir,to go
ese,that
otro,other
si,Yes
mi,me
ver,watch
ya,Already
porque,because
mucho,much
dar,to give
muy,very
saber,to know
sí,Yes
año,year
ti,you
te,tea
también,also
qué,what
alguno,some
nos,us
tu,your
sin,without
mismo,same
eso,it's
cuando,when
querer,want
vez,time
hasta,until
la,the
sobre,on
entre,Come in
dos,two
día,day
grande,great
así,So
pasar,spend
cosa,stuff
desde,since
deber,have to
ella,she
pues,well
entonces,then
llegar,get
poco,little bit
nuestro,our
bien,right
ni,neither
tiempo,weather
ahora,now
primero,first
creer,believe
donde,where
vida,life
dejar,let
nada,any
tanto,so much
parecer,look
hablar,speak
poner,put
parte,part
eh,Hey
nuevo,new
sólo,single
siempre,forever
hombre,men
bueno,Okay
seguir,continue
quedar,stay
llevar,wear
encontrar,find
bueno,Okay
tan,so
pensar,to think
casa,House
cada,each
persona,person
país,country
algo,something
esto,this
volver,return
usted,you
salir,leave
después,after
mejor,better
menos,less
venir,to come
forma,form
mujer,woman
momento,moment
llamar,to call
mundo,world
claro,Sure
mirar,look at
medios,media
mientras,while
conocer,know
aquel,that
aquí,here
aunque,though
quien,who
tomar,drink
tres,three
mano,hand
sentir,feel
gente,people
cuándo,when
durante,during
hijo,son
tratar,treat
vivir,to live
sino,otherwise
lugar,place
problema,issue
hacia,towards
presidente,President
cual,which
junto,together
luego,later
cómo,What
trabajo,worked
caso,case
mayor,elderly
además,what's more
acercar,zoom in
esperar,expect
nunca,never
cierto,certain
hora,hour
dónde,where
padre,dad
gustar,like
noche,night
nosotros,us
casi,almost
hoy,today
tipo,Type
ojo,eye
manera,way
importante,important
contar,count
niño,little boy
trabajar,to work
empezar,start
verdad,TRUE
contra,against
ciudad,city
buscar,Search
ahí,there
solo,only
fin,finish
propio,own self
tú,your
gobierno,government
historia,history
ejemplo,example
último,latest
punto,point
antes,before
mil,one thousand
palabra,word
obra,construction site
existir,exist
perder,lose
cuenta,bill
allí,over there
escribir,to write
cualquiera,any
grupo,cluster
señor,mister
pequeño,little
embargo,embargo
agua,Water
realizar,realize
nadie,no one
entrar,get in
arte,art
leer,read
amigo,dude
recordar,to remember
morir,To die
único,unique
lado,side
nombre,Name
recibir,to receive
pedir,ask
permitir,allow
preguntar,to ask
social,Social
sistema,system
tal,such
segundo,second
ante,in view of
viejo,old
madre,mother
siglo,century
nacional,national
entender,to understand
libro,book
alto,tall
cuerpo,Body
familia,family
comenzar,begin
presentar,introduce
bajo,bass
según,according to
frente,front
crear,to create
tema,theme
cuatro,four
ah,ah
humano,human
pueblo,village
producir,produce
abrir,open
idea,idea
millón,million
sentar,sit
aún,even
caer,fall
voz,voice
terminar,end up
oír,hear
cambiar,change
ninguno,none
considerar,consider
político,political
tierra,Earth
realidad,reality
convertir,convert
español,Spanish
igual,Same
todavía,yet
cabeza,head
derecho,law
mantener,hold
utilizar,use
calle,street
través,through
estado,condition
relación,relationship
sacar,take
puerta,gate
gracias,Thank you
necesitar,need
resultar,result
luz,light
paso,step
general,general
escuchar,listen
guerra,war
amor,love
cinco,five
situación,situation
conseguir,get
lograr,achieve
mes,month
quién,who
fuerza,strength
ocurrir,occur
aparecer,Appear
diferente,different
muerte,death
ganar,gain
estudio,study
nivel,level
proceso,process
fuera,outside
largo,length
semana,week
partido,match
acabar,finish
explicar,explain
cuyo,whose
razón,reason
negro,black
bastante,Quite
efecto,effect
servicio,service
formar,to form
económico,economic
servir,serve
allá,there
empresa,business
centro,center
usar,use
tras,after
cambio,change
clase,class
distinto,distinct
animal,animal
hecho,done
número,number
dicho,saying
información,information
tocar,play
ayudar,help
público,public
mostrar,to show
mas,plus
estudiar,to study
hermano,brother
ley,law
sentido,sense
incluso,even
cara,expensive
principio,beginning
programa,Program
música,music
traer,bring
campo,countryside
correr,run
actividad,exercise
quizás,maybe
alguien,someone
comer,to eat
acuerdo,agreement
demás,the rest
siguiente,Next
ofrecer,to offer
poder,can
sociedad,society
levantar,get up
dios,god
jugar,play
época,epoch
color,color
zona,zone
malo,bad
comprar,to buy
necesario,necessary
camino,road
dinero,money
pie,foot
final,final
tampoco,either
decidir,to decide
desarrollo,developing
movimiento,movement
alcanzar,attain
blanco,white
equipo,equipment
difícil,hard
desarrollar,develop
pronto,early
pagar,to pay
principal,major
proyecto,Project
valor,worth
meter,to put
realmente,Really
sol,sun
imagen,image
cumplir,comply
varios,several
universidad,college
interés,interest
mayoría,most
dirigir,to direct
ello,it
tarde,afternoon
papel,paper
producto,product
medio,medium
continuar,continue
modo,mode
rico,rich
ojalá,I wish
reconocer,to recognize
aire,air
mañana,morning
dormir,sleep
acción,action
pesar,to weigh
establecer,establish
seguro,sure
vista,view
juego,play
subir,go up
intentar,attempt
personal,staff
fondo,background
descubrir,discover
olvidar,forget
experiencia,experience
incluir,include
condición,condition
edad,age
andar,walk
orden,order
mal,wrong
joven,young man
escuela,school
uno,one
nacer,born
posible,possible
aprender,to learn
serie,Serie
dedicar,to dedicate
necesidad,need
suponer,suppose
aceptar,to accept
comprender,understand
fuerte,strong
especial,special
iglesia,church
seis,six
obtener,get
ciento,hundred
falta,lack
política,politics
especie,species
real,real
cuál,which
antiguo,ancient
gracia,Grace
santo,holy
diez,ten
tercero,third
espacio,space
bajo,bass
publicar,post
población,population
aspecto,appearance
muchacho,young guy
tarde,afternoon
artículo,Article
cantidad,amount
sueño,sleep
posibilidad,possibility
echar,throw
internacional,international
responder,answer
boca,mouth
próximo,next
mover,move
menor,minor
cultura,culture
brazo,arm
uso,use
todo,all
libre,free
ser,be
corazón,heart
línea,line
sitio,place
minuto,minute
señalar,point
mar,sea
carrera,race
base,base
suceder,happen
bajar,go down
éste,East
apenas,barely
mercado,market
respuesta,response
atención,attention
educación,education
miedo,fear
pobre,poor
anterior,previous
demasiado,too
evitar,avoid
río,river
comentario,comment
asegurar,secure
actual,current
imaginar,To imagine
profesor,professor
resultado,result
detener,having
solamente,only
sufrir,suffer
importar,to import
pregunta,Question
ocupar,occupy
señora,Mrs
representar,represent
investigación,research
repetir,repeat
autor,Author
caminar,to walk
gastos,bills
favor,favour
vos,you
silencio,silence
viaje,trip
natural,natural
cerrar,to close
resto,rest
comunidad,community
faltar,lack
mesa,table
indicar,indicate
función,function
vender,sell
supuesto,supposed
libertad,freedom
organización,organization
peso,weight
diferencia,difference
rojo,red
acordar,agree
ambos,both of them
elemento,element
seguridad,security
cuestión,question
miembro,member
duda,doubt
desear,want
película,movie
dato,fact
región,region
sector,sector
militar,military
dentro,within
iniciar,Start
destacar,stand out
compañero,co-worker
suelo,I usually
referir,refer
paz,peace
sangre,blood
observar,look
precio,price
verdadero,real
soler,to usually do
crecer,growing up
elegir,to choose
francés,French
demostrar,show
oportunidad,chance
conocimiento,knowledge
producción,production
objeto,object
mirada,look
autoridad,authority
preparar,set up
valer,to worth
mundial,world
regresar,to return
significar,to mean
interesar,interest
matar,to kill
área,area
opinión,opinion
compartir,to share
cuánto,how many
capital,capital
cabo,cape
inglés,English
fácil,easy
partir,leave
lengua,language
curso,grade
mandar,send
término,finished
decisión,decision
dolor,pain
director,director
participar,take part
causa,cause
personaje,character
rostro,face
ocasión,chance
página,page
atrás,behind
llenar,fill
esfuerzo,effort
maestro,teacher
siete,seven
enfermedad,illness
teatro,theater
acompañar,accompany
estilo,style
construir,build up
cama,bed
enseñar,to teach
cubrir,cover
siquiera,even
salud,Health
oficial,official
presencia,presence
interesante,interesting
ayer,Yesterday
central,central
comunicación,communication
cielo,darling
control,control
niña,little girl
mal,wrong
norte,north
plan,plan
entregar,deliver
carta,letter
colegio,college
policía,policeman
llorar,mourn
enorme,enormous
figura,figure
capacidad,ability
comentar,comment
orientar,guide
afirmar,say
calidad,quality
compañía,company
jamás,Never
fuente,font
ocho,eight
tamaño,size
materia,matter
doctor,doctor
capaz,capable
dirección,address
aumentar,increase
superior,higher
responsable,responsible
casar,marry
prueba,Test
mediante,through
cuarto,fourth
abierto,open
desaparecer,vanish
contrario,contrary
objetivo,objective
obligar,obligate
julio,July
importancia,importance
sur,south
asunto,affair
medida,measure
energía,Energy
impuestos,taxes
apoyar,support
posición,position
quitar,put off
contestar,answer
piel,skin
provocar,to provoke
alma,soul
acto,act
década,decade
mamá,breast
mío,Own
dólar,dollar
origen,source
depender,to depend
abandonar,Leave
fijar,pin up
profesional,professional
reír,laugh
lleno,full
tirar,throw
período,period
guardar,save
negocio,business
material,material
arriba,up
gritar,shout
médico,medical
domingo,Sunday
peor,worse
os,you
notar,notice
institución,institution
surgir,arise
expresar,express
amar,to love
vestir,wear
físico,physical
cubano,Cuban
enviar,Send
modelo,model
parar,stop
rey,king
éxito,success
constituir,make up
cuanto,how much
generar,generate
naturaleza,nature
preferir,prefer
cultural,cultural
conjunto,set
dedo,finger
cantar,sing
futuro,future
proponer,propose
título,title
europeo,European
adelante,ahead
suerte,luck
pensamiento,thought
ventana,window
jefe,boss
chico,boy
banco,bank
ambiente,ambient
lanzar,throw
simplemente,simply
permanecer,stay
romper,break
local,local
novela,novel
extraño,weird
privado,private
ciencia,science
flor,flower
estructura,structure
duro,Lasted
común,common
pena,grief
red,net
pieza,part
golpe,blow
economía,economy
árbol,tree
literatura,literature
defender,defend
cuidar,look after
informar,report
texto,text
elección,choice
cortar,cut
fecha,date
especialmente,especially
profundo,deep
conocido,known
unir,link
alemán,German
actuar,Act
salvar,save
aplicar,Apply
extranjero,Foreign
respecto,regard
entrada,entry
planta,plant
hija,daughter
negar,deny
recuerdo,memory
avanzar,move along
consecuencia,consequence
piedra,stone
costar,Cost
pierna,leg
funcionar,function
pared,wall
motivo,reason
deseo,desire
suficiente,enough
ropa,clothing
abuela,grandmother
ayuda,aid
anunciar,announce
reunir,meet
disponer,provide
abajo,down
sostener,hold
popular,popular
precisamente,precisely
visitar,visit
construcción,building
contener,contain
estudiante,student
fiesta,party
lucha,struggle
metro,meter
mañana,morning
rato,little while
colocar,place
oscuro,Dark
sombra,shade
expresión,expression
separar,pull apart
plaza,square
vivo,live
vecino,neighbour
pretender,pretend
isla,island
azul,blue
verde,green
carácter,character
viento,wind
cruzar,Cross
completo,complete
artista,artist
contacto,Contact
veinte,twenty
invitar,invite
religioso,religious
cargo,position
nación,nation
ministro,Minister
televisión,TV
determinado,certain
memoria,memory
recoger,pick up
treinta,thirty
histórico,historical
extender,to extend
espíritu,spirit
lejos,far
mitad,half
actitud,attitude
solución,solution
público,public
basar,base
totalmente,totally
total,total
sala,living room
acerca,about
par,pair
apoyo,support for
territorio,territory
loco,crazy
mensaje,message
unidad,Unit
mexicano,Mexican
práctica,practice
teoría,theory
preocupar,worry
cuento,story
exigir,demand
mejorar,to improve
serio,I laughed
edificio,building
técnica,technique
noticia,News
carne,meat
moderno,modern
alumno,pupil
oro,Prayed
escritor,writer
papá,father
teléfono,telephone
resolver,solve
concepto,concept
interior,inside
rápido,Quick
crisis,crisis
civil,civil
pelo,hair
formación,training
simple,simple
comercial,commercial
riesgo,risk
imponer,to impose
fundamental,fundamental
amplio,large
afectar,to affect
foto,Photo
reducir,reduce
fuego,fire
aprovechar,take advantage of
celebrar,celebrate
error,mistake
perro,dog
piso,flat
gusto,taste
bonito,nice
medir,to size
pareja,partner
despertar,wake up
pesar,to weigh
costa,coast
enfrentar,deal
corresponder,correspond
escapar,get away
causar,cause
grave,serious
viajar,to travel
cámara,camera
vía,via
ejército,army
comida,food
caballo,horse
feliz,happy
mayo,May
plata,silver
visita,visit
rodear,surround
adquirir,acquire
consejo,tip
responsabilidad,responsibility
hoja,sheet
encuentro,meeting
arma,weapon
alejar,Ward off
revista,magazine
pertenecer,to belong
debido,due
agregar,add
trabajador,employee
generación,generation
ciudadano,citizen
propiedad,property
gesto,gesture
blog,Blog
departamento,department
agosto,August
pasado,past
radio,radio
emplear,use
máximo,maximum
sorprender,to surprise
detalle,detail
puro,pure
disfrutar,to enjoy
barrio,neighborhood
sentimiento,feeling
espalda,back
fe,faith
distancia,distance
calor,heat
conciencia,awareness
reunión,meeting
finalmente,Finally
sonar,Dream
defensa,defending
justicia,Justice
cine,cinema
existencia,existence
grado,degree
ganas,desire
plantear,pose
madera,wood
menudo,often
probar,try
destino,destiny
café,coffee
contenido,contents
cincuenta,fifty
pintura,paint
marido,husband
diario,daily
recorrer,travel
hallar,find
poseer,possess
altura,height
pecho,chest
costumbre,custom
recién,newly
estrella,star
mente,mind
declarar,to declare
letra,lyrics
sonreír,smile
creación,creation
hermoso,handsome
advertir,warn
canción,song
método,method
república,republic
reforma,reform
lluvia,rain
esperanza,hope
tío,uncle
conversación,conversation
influencia,influence
nueve,nine
instante,instant
marcar,tick
controlar,check
tarea,task
documento,document
famoso,famous
conducir,ride
prensa,press
normal,normal